cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3122306,2,3,2615118,359,2,41,1,1,2,1,2,1,3,,,,13,,,2,2,,,0,2,,,970,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1403227,1424,2,14,3,1,1,1,2,1,1,1,5,9,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1484045,2133,2,25,1,1,2,1,2,1,3,,,,8,3,1,1,,2,1,300,1,12,3600,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1360465,2883,2,34,2,4,2,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616077,3054,1,33,2,1,2,2,2,1,3,,,,8,3,1,1,,2,4,1336,1,12,16032,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615647,9553,2,17,3,1,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616655,10136,2,64,1,1,1,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615699,14162,1,63,1,4,2,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616765,18459,2,63,1,2,2,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,2615970,18630,2,45,1,4,1,1,2,1,3,,,,5,5,2,1,,2,1,250,1,6,1500,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615032,19012,1,21,5,4,2,2,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2617040,19881,2,66,2,4,1,1,1,1,3,,,,5,7,2,2,2,,,0,2,,,0,937,0,0,0,55033726977374,563310487945289
3122306,2,3,2617097,19893,2,10,3,1,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2616181,20287,1,3,3,1,1,1,2,1,1,1,2,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1545282,23790,2,82,1,1,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,55033726977374,563310487945289
3122306,2,3,1337449,29634,1,42,1,1,1,1,2,1,3,,,,8,1,2,1,,1,1,600,1,12,7200,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616786,31299,1,82,2,1,2,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1443991,31318,2,43,1,1,2,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616531,31410,1,13,3,4,2,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615314,31515,2,48,1,1,1,1,2,1,3,,,,5,8,1,1,,2,4,1300,1,12,15600,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615149,33163,1,20,8,1,1,1,2,1,3,,,,13,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616818,35821,2,40,1,4,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615952,35937,2,1,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615628,37091,1,9,3,4,1,1,1,2,1,1,5,5,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2617083,38127,1,1,3,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615293,44444,1,2,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615951,44446,1,30,1,4,1,1,2,1,3,,,,8,1,2,2,1,,1,600,1,12,7200,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1480087,47061,1,44,2,1,2,1,2,1,3,,,,8,3,1,1,,2,4,1510,1,12,18120,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615661,47704,1,68,1,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,937,0,0,0,55033726977374,563310487945289
3122306,2,3,1467489,53542,2,9,3,4,2,1,2,2,1,1,4,2,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1396011,54037,2,2,3,4,1,1,2,1,1,1,1,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615799,54554,2,36,1,4,2,1,2,1,3,,,,5,6,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615889,55503,2,70,1,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,937,0,0,0,55033726977374,563310487945289
3122306,2,3,1519628,56143,1,64,2,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,2616718,63056,2,25,1,1,2,1,2,1,3,,,,8,2,2,1,,2,1,500,1,12,6000,500,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2617050,63192,2,33,1,1,2,1,2,1,3,,,,5,8,1,1,,2,4,1157,1,9,10413,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616692,64468,1,19,3,4,1,1,1,2,4,,,,,,,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,2616568,68013,1,29,2,4,2,1,2,1,3,,,,8,3,1,1,,2,4,0,1,11,17688,0,0,1248,0,0,55033726977374,563310487945289
3122306,2,3,1354344,68412,2,54,1,1,1,1,2,1,3,,,,5,6,2,2,2,,,0,1,6,5622,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1335980,69840,2,15,3,2,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616036,71744,1,46,2,1,1,1,2,2,4,,,,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615152,72245,1,13,5,1,1,1,2,1,1,1,7,1,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2616701,79818,2,11,3,1,1,2,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2617045,80236,2,70,1,1,2,2,2,1,3,,,,4,2,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616499,81612,1,61,1,1,2,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,2616377,86375,2,15,3,1,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1366289,87890,2,87,1,1,1,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,1908,0,0,0,55033726977374,563310487945289
3122306,2,3,2615448,91170,2,18,1,1,1,1,2,1,2,2,13,,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1487225,99905,1,10,3,4,2,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1446077,100517,1,45,1,1,2,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615103,101130,2,36,1,4,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1456028,101202,1,36,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616184,101798,1,14,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616384,106309,2,10,3,4,1,1,1,1,1,1,5,6,,,,,,,,,,,,,0,,300,,55033726977374,563310487945289
3122306,2,3,2615886,107686,1,72,1,4,1,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,1576,0,0,0,55033726977374,563310487945289
3122306,2,3,1480614,114977,2,39,1,2,1,1,2,1,3,,,,4,4,1,1,,2,1,230,1,12,2760,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616950,124423,2,72,6,1,2,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,2617170,125037,1,21,1,1,2,1,2,1,2,1,13,,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616593,125630,2,20,1,1,2,1,2,1,1,1,13,,,,,2,2,,,0,2,,,750,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1390218,126128,2,10,3,1,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1367795,127059,1,41,3,1,1,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,1434737,127504,2,37,1,4,1,1,2,2,3,,,,4,1,2,1,,2,1,300,1,12,3600,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616897,129713,1,15,3,1,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
