cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3145901,1,3,1459438,9150,2,51,1,4,1,2,2,1,3,,,,5,5,2,2,2,,,0,1,7,11823,0,954,0,0,0,550245606981622,563276229297209
3145901,1,3,1361086,37375,2,73,1,1,2,2,2,1,3,,,,4,2,2,2,2,,,0,2,,,0,788,0,0,0,550245606981622,563276229297209
3145901,1,3,1452214,67856,2,55,1,1,2,2,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1484473,78396,1,1,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,250,,550245606981622,563276229297209
3145901,1,3,1386078,98385,1,46,1,4,2,2,2,1,3,,,,4,4,1,1,,2,1,350,1,12,4200,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1376472,118486,1,5,3,1,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,230,,550245606981622,563276229297209
3145901,1,3,1457839,120814,1,19,3,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1478469,136196,1,19,3,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,1,3,3023,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1433340,171005,2,6,3,1,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1507671,176301,2,29,1,4,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1394226,177776,2,9,3,4,1,1,2,2,1,1,5,6,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1376472,185116,1,14,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1478794,191700,1,63,6,1,2,1,2,2,3,,,,4,4,1,2,2,,,0,2,,,0,937,0,0,0,550245606981622,563276229297209
3145901,1,3,1334656,194980,2,29,1,4,2,1,2,1,3,,,,6,9,1,1,,2,1,720,1,12,8640,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1384428,198023,2,1,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1404275,219390,1,53,1,4,1,1,1,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,550245606981622,563276229297209
3145901,1,3,1476559,219463,1,4,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1528331,242944,1,80,2,4,1,2,1,2,3,,,,4,1,2,2,2,,,0,2,,,0,937,0,0,0,550245606981622,563276229297209
3145901,1,3,1528552,249610,1,11,3,4,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1465436,264425,1,41,2,4,2,2,2,1,3,,,,8,3,1,2,2,,,700,1,12,8400,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1542434,299416,2,22,1,1,2,2,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1401813,307595,2,19,1,1,2,2,2,1,1,1,13,,,,,2,2,,,0,2,,,900,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1362640,313270,2,53,1,1,2,2,2,1,3,,,,5,8,1,1,,2,1,400,1,11,9900,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1463275,323958,1,30,2,4,2,1,2,1,3,,,,4,4,1,1,,2,1,500,1,3,1500,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1372906,337658,2,31,1,4,2,1,2,1,3,,,,6,9,1,1,,2,1,140,1,1,140,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1423835,353299,2,58,1,4,1,2,2,1,3,,,,4,2,2,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
3145901,1,3,1420734,387704,1,3,3,4,2,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550245606981622,563276229297209
3145901,1,3,1388632,393077,2,60,2,2,2,2,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550245606981622,563276229297209
