cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3167202,2,3,1385328,880,2,62,2,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1332858,2988,1,26,1,4,1,1,2,1,3,,,,8,3,1,1,,2,8,1510,1,12,18120,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208703,3299,2,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1367506,3320,2,74,6,4,2,1,2,2,3,,,,4,1,2,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3209760,5806,2,14,3,4,2,1,2,1,1,1,5,9,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1516747,7155,2,23,1,4,1,1,2,1,3,,,,8,3,1,1,,2,1,0,1,8,200,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1524317,7946,1,9,5,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1348659,8676,2,33,1,4,2,1,2,1,3,,,,5,8,1,1,,2,1,170,1,2,1158,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209474,9185,1,31,3,4,2,1,2,1,3,,,,8,3,1,1,,2,1,800,1,12,9600,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209769,10174,1,6,3,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,180,,550272476199873,563285963455599
3167202,2,3,3206785,10244,2,62,1,4,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,350,550272476199873,563285963455599
3167202,2,3,3209558,11973,2,1,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207701,12562,2,46,1,4,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206572,13310,2,19,3,4,1,1,2,1,2,1,13,,,,,1,,2,10,300,1,1,300,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1363749,14238,1,15,3,4,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208470,14463,2,15,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1540366,17016,2,65,1,4,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1440246,17074,2,32,3,4,1,1,2,1,3,,,,13,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209133,17908,1,73,2,4,2,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,1443,0,0,0,550272476199873,563285963455599
3167202,2,3,1508067,20365,2,26,1,4,2,1,2,1,3,,,,5,5,2,2,1,,1,120,1,2,240,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209131,23230,2,27,2,4,1,1,2,1,3,,,,13,,,1,,2,1,500,1,12,6000,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209015,24756,2,24,1,1,1,1,2,1,3,,,,8,1,2,1,,2,8,1176,1,12,14112,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208619,25276,1,19,1,4,1,1,2,1,3,,,,8,1,2,1,,2,1,900,1,12,10800,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209540,25367,1,15,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207480,25937,2,38,1,4,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208739,28537,2,10,3,4,2,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1395121,30217,2,33,1,4,1,1,2,1,3,,,,8,1,2,1,,2,1,780,1,2,1560,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208060,32067,1,81,6,4,2,1,2,1,3,,,,4,2,2,2,2,,,0,2,,,0,1017,0,0,0,550272476199873,563285963455599
3167202,2,3,1440714,34571,2,8,3,4,1,1,2,2,1,1,5,3,,,,,,,,,,,,,0,,75,,550272476199873,563285963455599
3167202,2,3,3207132,35065,1,34,2,1,1,1,2,1,3,,,,5,7,2,1,,2,1,800,1,1,800,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207619,36107,1,1,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3208696,36535,2,6,3,4,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3208817,37496,2,7,3,4,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1544923,37648,1,15,3,1,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209587,39508,2,33,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208779,39642,2,25,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1338458,39941,2,70,1,4,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,1461169,40361,2,58,1,4,2,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1427038,40389,2,56,2,4,1,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1366381,40478,1,70,1,2,2,1,1,1,4,,,,,,,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3209227,41497,1,45,2,4,2,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,550,550272476199873,563285963455599
3167202,2,3,3207969,41965,2,16,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1487217,42427,2,62,1,1,2,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206729,42991,1,6,3,1,1,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,100,,550272476199873,563285963455599
3167202,2,3,1392683,44439,2,6,3,1,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1496820,44583,2,19,3,1,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208265,46056,2,16,3,4,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209860,46674,2,37,1,4,2,2,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1521986,47781,1,12,5,4,2,1,1,1,1,1,5,8,,,,,,,,,,,,,0,,250,,550272476199873,563285963455599
3167202,2,3,3208875,47967,1,60,1,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,1320,0,0,0,550272476199873,563285963455599
3167202,2,3,3207800,48473,2,2,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209695,48969,1,44,8,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209292,50902,2,41,1,4,1,1,2,2,3,,,,4,1,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207252,51594,1,55,1,4,2,1,2,1,3,,,,5,6,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208427,52264,2,5,3,1,2,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3206799,52335,1,16,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,100,0,550272476199873,563285963455599
3167202,2,3,3209681,53459,2,51,1,4,2,1,2,1,3,,,,8,3,1,1,,2,8,2300,1,12,25300,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208721,55238,1,58,1,1,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
